ID	origin (country)	host	genome size (bp)	# of contigs	N50	GC content (%)	Repetitive elements (%)	gene count	BUSCO score (%)	accessory genome (%)	RIP (%)
ARSEF 3391	Tanzania	Zonocerus elegans	45395921	10	7782126	45.49	21.06	9665	95.9	16.51	17.46
ARSEF 3609	Thailand	Patanga succincta	44957059	7	7306845	44.62	21.92	9856	95.7	16.3	18.5
ARSEF 6421	Senegal	Kraussaria angulifera	45081930	9	7339141	44.63	21.98	9868	96	16.52	19.68
ARSEF 5735	Madagascar	Orthoptera	47721089	49	3930461	45.24	21.35	10220	96.1	16.04	18.1
ARSEF 5747	Mexico	Schistocerca piceifrons	44851856	8	5321219	44.66	22.21	9738	95.6	16.2	19.71
ARSEF 6600	Benin	Orthoptera	45058258	9	6909784	44.56	22.13	9776	95.9	16.62	19.9
CQMa102	China	NA	39422329	241	329480	49.91	6.83	9849	93.2	9.21	3.77
ARSEF 324 (H1)	Australia 	Austracris guttulosa	44811144	35	2337527	45.46	20.8	12536	91.2	NA	17.9
											
											
											
